SOLUTION
0 n005w4

ASSIGNMENTS = 25
Patrick Mon Early HeadNurse
Patrick Tue Late Nurse
Patrick Wed Late HeadNurse
Patrick Fri Night HeadNurse
Patrick Sat Night HeadNurse
Patrick Sun Night Nurse
Andrea Mon Night Nurse
Andrea Tue Night HeadNurse
Andrea Fri Late Nurse
Andrea Sat Late Nurse
Andrea Sun Late Nurse
Stefaan Mon Late HeadNurse
Stefaan Fri Early Nurse
Stefaan Sat Early HeadNurse
Stefaan Sun Early HeadNurse
Sara Mon Late Nurse
Sara Tue Night Nurse
Sara Wed Night Nurse
Sara Thu Night Nurse
Sara Fri Night Nurse
Nguyen Mon Early Nurse
Nguyen Tue Early Nurse
Nguyen Wed Early Nurse
Nguyen Sat Early Nurse
Nguyen Sun Early Nurse
