SOLUTION
4 n120w8

ASSIGNMENTS = 391
HN_0 Mon Early HeadNurse
HN_0 Tue Late HeadNurse
HN_0 Wed Night Nurse
HN_0 Fri Day Nurse
HN_1 Tue Late Nurse
HN_1 Sat Night Nurse
HN_2 Mon Early Nurse
HN_2 Wed Early HeadNurse
HN_3 Mon Day Nurse
HN_3 Tue Day HeadNurse
HN_3 Wed Day HeadNurse
HN_3 Thu Day Nurse
HN_3 Fri Early HeadNurse
HN_3 Sat Late HeadNurse
HN_4 Mon Late HeadNurse
HN_4 Fri Late Nurse
HN_4 Sat Late Nurse
HN_5 Tue Early HeadNurse
HN_5 Wed Day Nurse
HN_5 Thu Day HeadNurse
HN_5 Fri Late Nurse
HN_5 Sun Late HeadNurse
HN_6 Fri Day HeadNurse
HN_7 Wed Late Nurse
HN_7 Thu Late HeadNurse
HN_7 Fri Night HeadNurse
HN_7 Sun Night HeadNurse
HN_8 Mon Early Nurse
HN_8 Wed Early Nurse
HN_8 Thu Early Nurse
HN_8 Fri Early HeadNurse
HN_8 Sat Day HeadNurse
HN_8 Sun Early HeadNurse
HN_9 Mon Night HeadNurse
HN_9 Wed Night Nurse
HN_9 Sun Night Nurse
HN_10 Tue Early Nurse
HN_10 Wed Day HeadNurse
HN_10 Fri Early Nurse
HN_11 Mon Day HeadNurse
HN_11 Tue Night Nurse
HN_11 Thu Late Nurse
HN_11 Fri Late HeadNurse
HN_12 Mon Early Nurse
HN_13 Mon Day Nurse
HN_13 Tue Late HeadNurse
HN_13 Wed Night HeadNurse
HN_13 Thu Night Nurse
HN_14 Mon Day Nurse
HN_14 Tue Night HeadNurse
HN_14 Thu Early Nurse
HN_14 Fri Day Nurse
HN_14 Sun Early Nurse
HN_15 Tue Early HeadNurse
HN_15 Wed Early HeadNurse
HN_15 Thu Early HeadNurse
HN_15 Fri Day HeadNurse
HN_16 Mon Early HeadNurse
HN_16 Tue Early Nurse
HN_16 Wed Late HeadNurse
HN_17 Tue Day HeadNurse
HN_17 Wed Night HeadNurse
HN_17 Fri Night HeadNurse
HN_18 Tue Day Nurse
HN_18 Wed Day HeadNurse
HN_18 Thu Day HeadNurse
HN_18 Fri Late HeadNurse
HN_18 Sat Late HeadNurse
HN_19 Mon Late HeadNurse
HN_19 Wed Late Nurse
HN_19 Thu Night HeadNurse
HN_19 Sun Late HeadNurse
NU_20 Mon Early Nurse
NU_20 Wed Night Nurse
NU_20 Thu Night Caretaker
NU_20 Sun Day Nurse
NU_21 Tue Day Nurse
NU_21 Wed Late Nurse
NU_21 Sat Night Nurse
NU_22 Mon Late Nurse
NU_22 Tue Late Nurse
NU_22 Wed Night Nurse
NU_22 Fri Night Nurse
NU_23 Tue Early Caretaker
NU_23 Wed Day Nurse
NU_23 Thu Day Caretaker
NU_23 Sat Day Caretaker
NU_23 Sun Late Caretaker
NU_24 Wed Day Caretaker
NU_24 Thu Day Nurse
NU_25 Wed Day Nurse
NU_25 Sat Day Nurse
NU_25 Sun Night Nurse
NU_26 Mon Day Caretaker
NU_26 Wed Early Caretaker
NU_26 Sat Day Caretaker
NU_27 Mon Late Nurse
NU_27 Tue Late Caretaker
NU_27 Thu Day Caretaker
NU_28 Mon Late Nurse
NU_28 Wed Early Caretaker
NU_28 Thu Late Nurse
NU_28 Fri Late Caretaker
NU_29 Tue Early Nurse
NU_29 Wed Late Nurse
NU_29 Fri Day Caretaker
NU_30 Mon Night Nurse
NU_30 Wed Early Nurse
NU_30 Thu Day Nurse
NU_30 Fri Late Caretaker
NU_31 Mon Night Nurse
NU_31 Thu Early Caretaker
NU_31 Fri Early Caretaker
NU_31 Sat Early Caretaker
NU_31 Sun Late Caretaker
NU_32 Wed Day Caretaker
NU_32 Fri Early Nurse
NU_33 Tue Day Caretaker
NU_33 Wed Early Nurse
NU_33 Thu Early Nurse
NU_33 Fri Night Nurse
NU_34 Mon Day Caretaker
NU_34 Tue Late Caretaker
NU_34 Wed Late Caretaker
NU_34 Fri Day Caretaker
NU_34 Sat Early Nurse
NU_34 Sun Late Caretaker
NU_35 Mon Early Caretaker
NU_35 Tue Night Caretaker
NU_35 Fri Night Caretaker
NU_36 Mon Night Nurse
NU_36 Fri Early Caretaker
NU_36 Sun Day Caretaker
NU_37 Tue Day Nurse
NU_37 Wed Early Caretaker
NU_37 Thu Day Caretaker
NU_37 Fri Early Nurse
NU_38 Mon Night Caretaker
NU_38 Wed Day Caretaker
NU_38 Thu Night Nurse
NU_38 Sun Early Caretaker
NU_39 Mon Night Caretaker
NU_39 Fri Day Nurse
NU_39 Sat Early Nurse
NU_40 Mon Night Caretaker
NU_40 Wed Early Caretaker
NU_41 Mon Night Caretaker
NU_41 Thu Late Nurse
NU_41 Fri Night Nurse
NU_42 Mon Early Caretaker
NU_42 Wed Night Caretaker
NU_42 Sat Early Nurse
NU_42 Sun Early Caretaker
NU_43 Tue Night Nurse
NU_43 Thu Early Nurse
NU_43 Fri Day Caretaker
NU_43 Sat Night Caretaker
NU_43 Sun Night Caretaker
NU_44 Tue Early Caretaker
NU_44 Wed Day Nurse
NU_44 Thu Late Nurse
NU_44 Fri Late Caretaker
NU_44 Sat Late Nurse
NU_45 Tue Late Caretaker
NU_45 Wed Late Caretaker
NU_45 Thu Late Nurse
NU_45 Fri Late Nurse
NU_46 Tue Late Caretaker
NU_46 Sun Night Nurse
NU_47 Mon Day Caretaker
NU_47 Tue Night Nurse
NU_47 Wed Night Nurse
NU_47 Sun Late Nurse
NU_48 Mon Day Caretaker
NU_48 Wed Night Nurse
NU_48 Sat Day Nurse
NU_48 Sun Early Nurse
NU_49 Mon Day Caretaker
NU_49 Tue Late Nurse
NU_49 Thu Night Caretaker
CT_50 Wed Early Caretaker
CT_50 Thu Day Caretaker
CT_50 Sun Late Caretaker
CT_51 Mon Day Caretaker
CT_51 Tue Night Caretaker
CT_51 Thu Night Caretaker
CT_51 Sun Early Caretaker
CT_52 Wed Late Caretaker
CT_52 Fri Late Caretaker
CT_53 Thu Night Caretaker
CT_53 Sun Day Caretaker
CT_54 Tue Day Caretaker
CT_54 Wed Late Caretaker
CT_54 Sat Early Caretaker
CT_55 Wed Day Caretaker
CT_55 Thu Early Caretaker
CT_55 Fri Early Caretaker
CT_56 Tue Day Caretaker
CT_56 Sat Late Caretaker
CT_56 Sun Late Caretaker
CT_57 Wed Late Caretaker
CT_57 Fri Day Caretaker
CT_58 Mon Late Caretaker
CT_58 Tue Late Caretaker
CT_60 Mon Late Caretaker
CT_60 Tue Late Caretaker
CT_60 Fri Early Caretaker
CT_60 Sun Late Caretaker
CT_61 Mon Late Caretaker
CT_61 Tue Late Caretaker
CT_61 Wed Late Caretaker
CT_61 Fri Early Caretaker
CT_62 Mon Early Caretaker
CT_62 Tue Day Caretaker
CT_62 Sat Night Caretaker
CT_63 Mon Early Caretaker
CT_63 Fri Night Caretaker
CT_64 Tue Late Caretaker
CT_64 Wed Night Caretaker
CT_64 Fri Night Caretaker
CT_64 Sat Night Caretaker
CT_65 Wed Night Caretaker
CT_66 Mon Night Caretaker
CT_66 Thu Day Caretaker
CT_66 Fri Day Caretaker
CT_67 Tue Day Caretaker
CT_67 Sat Late Caretaker
CT_68 Thu Late Caretaker
CT_69 Tue Early Caretaker
CT_69 Wed Early Caretaker
CT_69 Sat Day Caretaker
CT_70 Tue Early Caretaker
CT_70 Thu Late Caretaker
CT_71 Mon Early Caretaker
CT_71 Tue Day Caretaker
CT_71 Wed Night Caretaker
CT_71 Thu Night Caretaker
CT_72 Tue Night Caretaker
CT_72 Wed Night Caretaker
CT_73 Mon Late Caretaker
CT_73 Thu Night Caretaker
CT_73 Fri Night Caretaker
CT_74 Mon Early Caretaker
CT_74 Thu Night Caretaker
CT_75 Mon Late Caretaker
CT_75 Sun Night Caretaker
CT_76 Mon Late Caretaker
CT_76 Tue Late Caretaker
CT_76 Fri Early Caretaker
CT_77 Tue Day Caretaker
CT_77 Wed Late Caretaker
CT_77 Thu Late Caretaker
CT_77 Fri Late Caretaker
CT_77 Sat Late Caretaker
CT_78 Mon Day Caretaker
CT_78 Tue Day Caretaker
CT_78 Wed Day Caretaker
CT_78 Thu Early Caretaker
CT_78 Fri Late Caretaker
CT_79 Tue Day Caretaker
CT_79 Thu Early Caretaker
CT_79 Fri Night Caretaker
CT_80 Mon Night Caretaker
CT_80 Tue Night Caretaker
CT_80 Thu Early Caretaker
CT_80 Fri Early Caretaker
CT_81 Mon Late Caretaker
CT_81 Wed Day Caretaker
CT_81 Thu Night Caretaker
CT_82 Mon Early Caretaker
CT_82 Thu Day Caretaker
CT_82 Fri Late Caretaker
CT_83 Mon Day Caretaker
CT_83 Fri Late Caretaker
CT_83 Sun Late Caretaker
CT_84 Tue Night Caretaker
CT_84 Thu Early Caretaker
CT_84 Fri Late Caretaker
CT_84 Sun Night Caretaker
CT_85 Wed Night Caretaker
CT_85 Fri Day Caretaker
CT_85 Sat Day Caretaker
CT_85 Sun Night Caretaker
CT_86 Mon Late Caretaker
CT_86 Thu Late Caretaker
CT_86 Fri Night Caretaker
CT_87 Wed Day Caretaker
CT_87 Sat Early Caretaker
CT_87 Sun Early Caretaker
CT_88 Thu Early Caretaker
CT_88 Sun Late Caretaker
CT_89 Tue Night Caretaker
CT_89 Wed Night Caretaker
CT_89 Fri Night Caretaker
TR_90 Mon Early Trainee
TR_90 Sat Day Trainee
TR_90 Sun Early Trainee
TR_91 Mon Early Trainee
TR_91 Fri Day Trainee
TR_92 Mon Day Trainee
TR_92 Tue Late Trainee
TR_92 Wed Late Trainee
TR_92 Thu Late Trainee
TR_92 Fri Night Trainee
TR_92 Sun Early Trainee
TR_93 Thu Early Trainee
TR_93 Sun Night Trainee
TR_94 Tue Early Trainee
TR_94 Wed Day Trainee
TR_94 Thu Night Trainee
TR_95 Mon Day Trainee
TR_95 Tue Day Trainee
TR_95 Wed Night Trainee
TR_95 Fri Day Trainee
TR_95 Sat Early Trainee
TR_95 Sun Late Trainee
TR_96 Mon Day Trainee
TR_96 Wed Late Trainee
TR_96 Thu Late Trainee
TR_97 Thu Night Trainee
TR_97 Sat Day Trainee
TR_98 Tue Early Trainee
TR_98 Sun Late Trainee
TR_99 Mon Late Trainee
TR_99 Fri Late Trainee
TR_100 Mon Early Trainee
TR_100 Wed Early Trainee
TR_100 Thu Day Trainee
TR_100 Fri Early Trainee
TR_101 Mon Early Trainee
TR_101 Tue Early Trainee
TR_101 Wed Day Trainee
TR_101 Fri Day Trainee
TR_101 Sat Day Trainee
TR_101 Sun Night Trainee
TR_102 Mon Night Trainee
TR_102 Wed Day Trainee
TR_102 Thu Day Trainee
TR_103 Tue Early Trainee
TR_103 Wed Day Trainee
TR_103 Thu Early Trainee
TR_103 Fri Early Trainee
TR_104 Tue Late Trainee
TR_104 Thu Day Trainee
TR_105 Tue Day Trainee
TR_105 Wed Early Trainee
TR_105 Fri Late Trainee
TR_106 Mon Early Trainee
TR_106 Tue Day Trainee
TR_107 Mon Late Trainee
TR_107 Wed Early Trainee
TR_107 Thu Late Trainee
TR_107 Fri Night Trainee
TR_107 Sun Night Trainee
TR_108 Mon Day Trainee
TR_108 Tue Night Trainee
TR_108 Wed Night Trainee
TR_108 Thu Night Trainee
TR_108 Fri Night Trainee
TR_109 Mon Night Trainee
TR_110 Mon Early Trainee
TR_110 Tue Late Trainee
TR_110 Thu Late Trainee
TR_110 Fri Late Trainee
TR_111 Wed Early Trainee
TR_111 Thu Early Trainee
TR_111 Fri Night Trainee
TR_111 Sat Night Trainee
TR_112 Tue Night Trainee
TR_112 Thu Night Trainee
TR_112 Sun Late Trainee
TR_113 Mon Early Trainee
TR_113 Fri Early Trainee
TR_113 Sat Late Trainee
TR_114 Tue Day Trainee
TR_114 Fri Early Trainee
TR_114 Sat Night Trainee
TR_115 Tue Day Trainee
TR_115 Wed Late Trainee
TR_115 Fri Day Trainee
TR_115 Sun Night Trainee
TR_116 Wed Late Trainee
TR_116 Sun Day Trainee
TR_117 Mon Night Trainee
TR_117 Wed Day Trainee
TR_117 Thu Late Trainee
TR_117 Fri Late Trainee
TR_118 Wed Night Trainee
TR_118 Sun Day Trainee
TR_119 Mon Night Trainee
TR_119 Wed Night Trainee
