SOLUTION
5 n120w8

ASSIGNMENTS = 381
HN_0 Tue Early HeadNurse
HN_0 Wed Day HeadNurse
HN_0 Thu Early HeadNurse
HN_0 Fri Day HeadNurse
HN_0 Sat Early HeadNurse
HN_0 Sun Day Nurse
HN_1 Mon Late Nurse
HN_1 Tue Late HeadNurse
HN_1 Thu Early Nurse
HN_2 Mon Late Nurse
HN_2 Tue Night Nurse
HN_2 Thu Late HeadNurse
HN_2 Sun Early Nurse
HN_3 Mon Night Nurse
HN_3 Fri Early HeadNurse
HN_3 Sat Late Nurse
HN_3 Sun Late HeadNurse
HN_4 Mon Day Nurse
HN_4 Tue Early HeadNurse
HN_4 Wed Late HeadNurse
HN_4 Thu Late HeadNurse
HN_4 Sat Day Nurse
HN_5 Thu Early HeadNurse
HN_5 Fri Day Nurse
HN_6 Tue Night Nurse
HN_6 Wed Night HeadNurse
HN_6 Thu Night HeadNurse
HN_6 Sat Early Nurse
HN_6 Sun Night HeadNurse
HN_7 Thu Late Nurse
HN_8 Mon Early HeadNurse
HN_8 Tue Late Nurse
HN_8 Thu Early Nurse
HN_8 Fri Day HeadNurse
HN_9 Tue Day Nurse
HN_9 Wed Early HeadNurse
HN_9 Thu Night Nurse
HN_9 Fri Night Nurse
HN_9 Sun Day HeadNurse
HN_10 Wed Late HeadNurse
HN_10 Fri Night Nurse
HN_11 Mon Late HeadNurse
HN_11 Tue Late HeadNurse
HN_11 Thu Night Nurse
HN_12 Tue Late Nurse
HN_12 Fri Night HeadNurse
HN_13 Mon Early HeadNurse
HN_13 Wed Late Nurse
HN_13 Fri Late Nurse
HN_14 Wed Early Nurse
HN_14 Thu Night HeadNurse
HN_14 Fri Night HeadNurse
HN_15 Mon Late Nurse
HN_15 Tue Late HeadNurse
HN_15 Fri Late HeadNurse
HN_16 Thu Day HeadNurse
HN_16 Fri Night Nurse
HN_17 Tue Day HeadNurse
HN_17 Sun Early HeadNurse
HN_18 Wed Night HeadNurse
HN_18 Sat Early HeadNurse
HN_19 Mon Night HeadNurse
HN_19 Tue Night HeadNurse
HN_19 Wed Night Nurse
HN_19 Thu Night Nurse
HN_19 Sat Day HeadNurse
HN_19 Sun Day Nurse
NU_20 Mon Early Caretaker
NU_20 Tue Late Caretaker
NU_20 Fri Late Nurse
NU_21 Tue Early Caretaker
NU_21 Fri Early Nurse
NU_22 Mon Late Caretaker
NU_22 Wed Day Caretaker
NU_22 Sat Late Caretaker
NU_23 Thu Late Nurse
NU_23 Fri Late Caretaker
NU_24 Mon Early Nurse
NU_24 Tue Early Caretaker
NU_24 Wed Early Nurse
NU_24 Sat Day Caretaker
NU_24 Sun Early Caretaker
NU_25 Mon Night Caretaker
NU_25 Wed Day Nurse
NU_25 Fri Night Caretaker
NU_25 Sun Day Caretaker
NU_26 Mon Day Caretaker
NU_27 Thu Day Nurse
NU_27 Fri Early Nurse
NU_27 Sat Early Caretaker
NU_28 Tue Night Caretaker
NU_28 Wed Night Nurse
NU_28 Sun Late Caretaker
NU_29 Mon Day Nurse
NU_29 Tue Day Nurse
NU_29 Thu Day Nurse
NU_29 Fri Day Nurse
NU_29 Sat Night Nurse
NU_29 Sun Night Caretaker
NU_30 Mon Early Nurse
NU_30 Tue Day Caretaker
NU_30 Wed Late Caretaker
NU_30 Thu Late Caretaker
NU_30 Sat Early Nurse
NU_31 Tue Early Caretaker
NU_31 Wed Day Nurse
NU_31 Thu Late Caretaker
NU_31 Fri Late Caretaker
NU_32 Mon Late Nurse
NU_32 Tue Late Caretaker
NU_32 Thu Late Caretaker
NU_32 Fri Night Caretaker
NU_32 Sat Night Nurse
NU_33 Mon Night Nurse
NU_33 Thu Late Caretaker
NU_33 Sun Early Nurse
NU_34 Tue Day Nurse
NU_34 Thu Early Nurse
NU_34 Sun Late Nurse
NU_35 Mon Day Nurse
NU_35 Tue Late Caretaker
NU_35 Thu Day Nurse
NU_35 Fri Late Caretaker
NU_35 Sat Late Caretaker
NU_35 Sun Late Nurse
NU_36 Mon Early Caretaker
NU_36 Wed Night Nurse
NU_36 Fri Early Caretaker
NU_36 Sat Early Caretaker
NU_36 Sun Night Nurse
NU_37 Tue Late Caretaker
NU_37 Thu Early Caretaker
NU_37 Fri Early Caretaker
NU_37 Sat Night Nurse
NU_38 Fri Late Caretaker
NU_38 Sat Late Nurse
NU_38 Sun Late Caretaker
NU_39 Mon Late Caretaker
NU_39 Tue Late Caretaker
NU_39 Wed Late Caretaker
NU_39 Sat Day Caretaker
NU_39 Sun Early Caretaker
NU_40 Tue Early Nurse
NU_40 Wed Late Nurse
NU_40 Thu Night Nurse
NU_40 Sun Late Caretaker
NU_41 Mon Day Nurse
NU_41 Tue Day Caretaker
NU_41 Wed Day Nurse
NU_41 Thu Early Nurse
NU_42 Mon Early Caretaker
NU_42 Tue Early Nurse
