SOLUTION
6 n120w8

ASSIGNMENTS = 391
HN_0 Mon Day HeadNurse
HN_0 Tue Late HeadNurse
HN_0 Thu Early HeadNurse
HN_0 Sat Day HeadNurse
HN_0 Sun Night HeadNurse
HN_1 Mon Late HeadNurse
HN_1 Tue Late Nurse
HN_1 Thu Day Nurse
HN_1 Fri Late Nurse
HN_2 Tue Early Nurse
HN_2 Wed Day Nurse
HN_3 Wed Early HeadNurse
HN_4 Wed Day HeadNurse
HN_4 Thu Early Nurse
HN_4 Sat Early Nurse
HN_4 Sun Night HeadNurse
HN_5 Tue Day HeadNurse
HN_5 Wed Day Nurse
HN_5 Thu Day Nurse
HN_5 Fri Early HeadNurse
HN_5 Sun Early HeadNurse
HN_6 Fri Day HeadNurse
HN_7 Tue Early Nurse
HN_7 Wed Late HeadNurse
HN_7 Thu Late HeadNurse
HN_7 Fri Night HeadNurse
HN_8 Tue Day HeadNurse
HN_8 Wed Day Nurse
HN_8 Thu Night Nurse
HN_8 Sat Early HeadNurse
HN_8 Sun Early Nurse
HN_9 Mon Early Nurse
HN_9 Wed Night Nurse
HN_9 Fri Early Nurse
HN_9 Sat Late HeadNurse
HN_10 Tue Late HeadNurse
HN_10 Wed Night Nurse
HN_10 Fri Night Nurse
HN_10 Sun Day Nurse
HN_11 Tue Early HeadNurse
HN_11 Wed Early HeadNurse
HN_11 Thu Night Nurse
HN_11 Sun Late HeadNurse
HN_12 Mon Day Nurse
HN_12 Tue Day Nurse
HN_12 Thu Day HeadNurse
HN_12 Fri Late HeadNurse
HN_12 Sat Night Nurse
HN_12 Sun Night Nurse
HN_13 Mon Night HeadNurse
HN_13 Wed Night HeadNurse
HN_13 Fri Early HeadNurse
HN_14 Mon Night HeadNurse
HN_14 Tue Night Nurse
HN_14 Thu Night HeadNurse
HN_14 Fri Night HeadNurse
HN_14 Sun Day Nurse
HN_15 Mon Late Nurse
HN_15 Tue Night HeadNurse
HN_15 Wed Night Nurse
HN_16 Tue Day Nurse
HN_16 Wed Night Nurse
HN_17 Mon Night Nurse
