SOLUTION
7 n120w8

ASSIGNMENTS = 390
HN_0 Fri Day HeadNurse
HN_1 Wed Day HeadNurse
HN_1 Thu Early HeadNurse
HN_1 Fri Early Nurse
HN_1 Sat Late Nurse
HN_2 Mon Night Nurse
HN_2 Wed Early HeadNurse
HN_2 Thu Night HeadNurse
HN_2 Sat Day HeadNurse
HN_2 Sun Early Nurse
HN_3 Tue Late Nurse
HN_3 Thu Late Nurse
HN_3 Fri Night Nurse
HN_4 Fri Late HeadNurse
HN_5 Mon Night HeadNurse
HN_6 Mon Day Nurse
HN_6 Tue Late Nurse
HN_6 Wed Late Nurse
HN_6 Thu Night Nurse
HN_7 Mon Early HeadNurse
HN_7 Tue Day Nurse
HN_7 Wed Late HeadNurse
HN_7 Thu Night HeadNurse
HN_7 Fri Night HeadNurse
HN_8 Tue Early HeadNurse
HN_8 Wed Day Nurse
HN_8 Thu Day HeadNurse
HN_8 Fri Day HeadNurse
HN_9 Mon Late HeadNurse
HN_9 Tue Late HeadNurse
HN_9 Thu Late HeadNurse
HN_9 Sun Late HeadNurse
HN_10 Mon Day HeadNurse
HN_10 Tue Night HeadNurse
HN_10 Thu Night Nurse
HN_11 Tue Early Nurse
HN_11 Fri Early Nurse
HN_12 Mon Night Nurse
HN_12 Tue Night Nurse
HN_12 Thu Late Nurse
HN_13 Tue Day Nurse
HN_13 Sat Early Nurse
HN_13 Sun Night HeadNurse
HN_14 Thu Day Nurse
HN_15 Mon Late Nurse
HN_15 Tue Late HeadNurse
HN_15 Fri Early HeadNurse
HN_15 Sat Early HeadNurse
HN_16 Tue Night HeadNurse
HN_16 Wed Night HeadNurse
HN_17 Tue Day Nurse
HN_17 Wed Early Nurse
HN_17 Thu Day Nurse
HN_17 Fri Early HeadNurse
HN_17 Sat Late HeadNurse
HN_17 Sun Late HeadNurse
HN_18 Tue Day HeadNurse
HN_18 Thu Late HeadNurse
HN_18 Sat Day Nurse
HN_18 Sun Day HeadNurse
HN_19 Mon Day HeadNurse
HN_19 Wed Early HeadNurse
HN_19 Thu Day HeadNurse
HN_19 Fri Late Nurse
NU_20 Mon Late Caretaker
NU_20 Tue Night Nurse
NU_20 Thu Early Nurse
NU_20 Fri Early Nurse
NU_21 Tue Night Caretaker
NU_21 Thu Day Caretaker
NU_21 Fri Early Nurse
NU_21 Sun Day Caretaker
NU_22 Mon Early Nurse
NU_22 Wed Late Nurse
NU_22 Thu Late Caretaker
NU_22 Fri Late Nurse
NU_22 Sat Late Caretaker
NU_22 Sun Night Nurse
NU_23 Tue Early Nurse
NU_23 Fri Early Nurse
NU_23 Sat Night Caretaker
NU_24 Wed Day Caretaker
NU_24 Sat Late Nurse
NU_25 Thu Early Caretaker
NU_25 Sun Day Nurse
NU_26 Tue Early Caretaker
NU_26 Wed Day Nurse
NU_26 Thu Early Caretaker
NU_26 Fri Day Nurse
NU_26 Sat Late Nurse
NU_27 Mon Early Caretaker
NU_27 Tue Night Caretaker
NU_27 Wed Night Nurse
NU_27 Thu Night Caretaker
NU_27 Fri Night Nurse
NU_28 Tue Early Nurse
NU_28 Wed Late Caretaker
NU_28 Sat Early Caretaker
NU_28 Sun Early Nurse
NU_29 Thu Night Caretaker
NU_29 Sat Day Nurse
NU_30 Mon Night Caretaker
NU_30 Wed Day Nurse
NU_30 Thu Early Nurse
NU_30 Fri Day Nurse
NU_30 Sat Day Caretaker
NU_30 Sun Night Caretaker
NU_31 Mon Day Nurse
NU_31 Tue Late Nurse
NU_31 Wed Night Caretaker
NU_32 Mon Late Caretaker
NU_32 Tue Late Caretaker
NU_32 Thu Night Nurse
NU_32 Sun Early Caretaker
NU_33 Mon Night Nurse
NU_33 Tue Night Caretaker
NU_33 Thu Day Caretaker
NU_33 Fri Late Caretaker
NU_34 Mon Early Nurse
NU_34 Thu Night Caretaker
NU_34 Fri Night Caretaker
NU_34 Sat Night Nurse
NU_34 Sun Night Nurse
NU_35 Mon Late Caretaker
NU_35 Tue Late Nurse
NU_35 Thu Late Caretaker
NU_35 Fri Late Nurse
NU_35 Sat Night Nurse
NU_36 Wed Late Nurse
NU_36 Fri Night Caretaker
NU_36 Sat Night Caretaker
NU_37 Tue Night Nurse
NU_37 Wed Night Nurse
NU_37 Thu Night Caretaker
NU_38 Mon Day Caretaker
NU_38 Tue Early Nurse
NU_38 Wed Day Nurse
NU_38 Thu Late Nurse
NU_38 Sat Early Caretaker
NU_38 Sun Early Caretaker
NU_39 Mon Night Caretaker
NU_39 Thu Early Nurse
NU_39 Fri Early Caretaker
NU_39 Sat Night Nurse
NU_40 Mon Late Nurse
NU_40 Wed Early Nurse
NU_40 Thu Late Nurse
NU_40 Sun Night Caretaker
NU_41 Mon Night Nurse
NU_41 Wed Early Caretaker
NU_41 Sat Day Caretaker
NU_41 Sun Night Nurse
NU_42 Tue Day Caretaker
NU_42 Wed Late Caretaker
NU_42 Fri Day Caretaker
NU_42 Sat Day Nurse
NU_43 Mon Early Nurse
NU_43 Tue Day Nurse
NU_43 Wed Day Caretaker
NU_43 Thu Day Nurse
NU_44 Tue Day Caretaker
NU_44 Wed Night Nurse
NU_44 Sun Late Nurse
NU_45 Tue Night Nurse
NU_45 Sat Day Caretaker
NU_45 Sun Night Nurse
NU_46 Wed Early Nurse
NU_46 Thu Day Nurse
NU_46 Fri Day Nurse
NU_46 Sat Late Nurse
NU_46 Sun Late Caretaker
NU_47 Fri Day Caretaker
NU_48 Wed Early Caretaker
NU_48 Fri Night Nurse
NU_48 Sun Night Nurse
NU_49 Mon Late Caretaker
NU_49 Thu Late Nurse
CT_50 Mon Early Caretaker
CT_50 Tue Late Caretaker
CT_50 Wed Late Caretaker
CT_50 Sat Early Caretaker
CT_51 Mon Early Caretaker
CT_51 Tue Early Caretaker
CT_51 Wed Early Caretaker
CT_51 Thu Day Caretaker
CT_51 Sat Day Caretaker
CT_52 Wed Night Caretaker
CT_52 Fri Early Caretaker
CT_52 Sun Night Caretaker
CT_53 Mon Night Caretaker
CT_53 Tue Night Caretaker
CT_53 Fri Day Caretaker
CT_54 Wed Night Caretaker
CT_54 Thu Night Caretaker
CT_55 Mon Day Caretaker
CT_55 Wed Early Caretaker
CT_55 Thu Early Caretaker
CT_55 Fri Day Caretaker
CT_55 Sat Night Caretaker
CT_56 Mon Late Caretaker
CT_56 Wed Day Caretaker
CT_56 Sun Late Caretaker
CT_57 Mon Early Caretaker
CT_57 Tue Day Caretaker
CT_57 Wed Night Caretaker
CT_58 Mon Late Caretaker
CT_58 Thu Late Caretaker
CT_58 Fri Late Caretaker
CT_59 Mon Day Caretaker
CT_59 Tue Night Caretaker
CT_60 Mon Day Caretaker
CT_60 Tue Night Caretaker
CT_61 Mon Night Caretaker
CT_61 Fri Night Caretaker
CT_62 Wed Late Caretaker
CT_62 Thu Late Caretaker
CT_62 Sun Day Caretaker
CT_63 Wed Day Caretaker
CT_63 Thu Day Caretaker
CT_64 Mon Day Caretaker
CT_64 Thu Early Caretaker
CT_64 Fri Day Caretaker
CT_64 Sat Late Caretaker
CT_65 Tue Early Caretaker
CT_65 Wed Night Caretaker
CT_66 Tue Day Caretaker
CT_66 Thu Late Caretaker
CT_66 Sun Night Caretaker
CT_67 Mon Early Caretaker
CT_67 Tue Early Caretaker
CT_67 Wed Day Caretaker
CT_68 Mon Night Caretaker
CT_68 Wed Late Caretaker
CT_68 Fri Early Caretaker
CT_68 Sun Night Caretaker
CT_69 Wed Day Caretaker
CT_70 Wed Night Caretaker
CT_70 Fri Early Caretaker
CT_70 Sat Late Caretaker
CT_70 Sun Night Caretaker
CT_71 Mon Day Caretaker
CT_71 Tue Day Caretaker
CT_71 Wed Day Caretaker
CT_71 Fri Night Caretaker
CT_72 Mon Night Caretaker
CT_72 Wed Day Caretaker
CT_72 Thu Day Caretaker
CT_72 Sat Late Caretaker
CT_73 Mon Early Caretaker
CT_73 Thu Early Caretaker
CT_73 Fri Night Caretaker
CT_74 Mon Night Caretaker
CT_74 Wed Night Caretaker
CT_74 Fri Late Caretaker
CT_75 Tue Late Caretaker
CT_75 Fri Day Caretaker
CT_76 Tue Night Caretaker
CT_76 Sun Day Caretaker
CT_77 Tue Early Caretaker
CT_77 Thu Day Caretaker
CT_77 Fri Early Caretaker
CT_77 Sat Early Caretaker
CT_78 Mon Early Caretaker
CT_78 Sat Day Caretaker
CT_79 Tue Late Caretaker
CT_79 Fri Late Caretaker
CT_79 Sun Late Caretaker
CT_80 Tue Early Caretaker
CT_80 Wed Early Caretaker
CT_80 Fri Late Caretaker
CT_80 Sun Day Caretaker
CT_81 Mon Day Caretaker
CT_81 Tue Day Caretaker
CT_81 Wed Day Caretaker
CT_81 Thu Late Caretaker
CT_81 Fri Late Caretaker
CT_82 Tue Day Caretaker
CT_82 Wed Early Caretaker
CT_82 Thu Late Caretaker
CT_83 Mon Night Caretaker
CT_83 Fri Night Caretaker
CT_84 Wed Day Caretaker
CT_84 Fri Day Caretaker
CT_85 Tue Early Caretaker
CT_85 Wed Early Caretaker
CT_85 Thu Early Caretaker
CT_85 Sat Day Caretaker
CT_86 Tue Late Caretaker
CT_86 Fri Late Caretaker
CT_87 Tue Early Caretaker
CT_87 Fri Day Caretaker
CT_88 Wed Day Caretaker
CT_89 Mon Day Caretaker
CT_89 Fri Night Caretaker
CT_89 Sun Late Caretaker
TR_90 Wed Day Trainee
TR_90 Sat Late Trainee
TR_91 Mon Early Trainee
TR_91 Tue Late Trainee
TR_91 Thu Early Trainee
TR_91 Fri Day Trainee
TR_91 Sun Night Trainee
TR_92 Mon Day Trainee
TR_92 Tue Early Trainee
TR_92 Wed Night Trainee
TR_92 Sun Late Trainee
TR_93 Tue Late Trainee
TR_93 Thu Day Trainee
TR_93 Sun Early Trainee
TR_94 Mon Day Trainee
TR_94 Thu Late Trainee
TR_94 Fri Night Trainee
TR_95 Mon Day Trainee
TR_95 Tue Late Trainee
TR_95 Wed Night Trainee
TR_95 Fri Early Trainee
TR_96 Tue Night Trainee
TR_96 Fri Late Trainee
TR_97 Thu Late Trainee
TR_97 Fri Night Trainee
TR_98 Mon Night Trainee
TR_98 Sat Night Trainee
TR_99 Mon Late Trainee
TR_99 Tue Late Trainee
TR_99 Wed Night Trainee
TR_99 Thu Night Trainee
TR_100 Mon Night Trainee
TR_100 Wed Early Trainee
TR_100 Fri Early Trainee
TR_100 Sat Late Trainee
TR_100 Sun Late Trainee
TR_101 Tue Night Trainee
TR_101 Fri Day Trainee
TR_101 Sat Day Trainee
TR_102 Thu Early Trainee
TR_102 Sat Day Trainee
TR_102 Sun Early Trainee
TR_103 Thu Early Trainee
TR_103 Fri Late Trainee
TR_104 Mon Day Trainee
TR_104 Tue Day Trainee
TR_104 Wed Early Trainee
TR_104 Thu Night Trainee
TR_104 Fri Night Trainee
TR_104 Sat Night Trainee
TR_105 Thu Late Trainee
TR_105 Fri Late Trainee
TR_106 Wed Night Trainee
TR_106 Fri Early Trainee
TR_106 Sun Night Trainee
TR_107 Tue Day Trainee
TR_108 Wed Day Trainee
TR_108 Thu Day Trainee
TR_108 Fri Night Trainee
TR_109 Mon Late Trainee
TR_109 Tue Late Trainee
TR_109 Fri Night Trainee
TR_110 Tue Late Trainee
TR_110 Wed Late Trainee
TR_110 Sun Day Trainee
TR_111 Tue Early Trainee
TR_111 Wed Early Trainee
TR_111 Fri Day Trainee
TR_111 Sat Early Trainee
TR_112 Mon Early Trainee
TR_112 Thu Night Trainee
TR_113 Mon Late Trainee
TR_113 Tue Night Trainee
TR_113 Fri Early Trainee
TR_113 Sun Night Trainee
TR_114 Mon Early Trainee
TR_114 Tue Day Trainee
TR_114 Wed Day Trainee
TR_114 Thu Day Trainee
TR_115 Tue Late Trainee
TR_115 Wed Late Trainee
TR_116 Wed Late Trainee
TR_116 Fri Day Trainee
TR_117 Tue Day Trainee
TR_117 Wed Early Trainee
TR_117 Fri Early Trainee
TR_117 Sat Early Trainee
TR_117 Sun Night Trainee
TR_118 Mon Night Trainee
TR_118 Tue Night Trainee
