SOLUTION
4 n100w8

ASSIGNMENTS = 350
HN_0 Thu Early HeadNurse
HN_0 Fri Early Nurse
HN_1 Mon Day HeadNurse
HN_1 Tue Late HeadNurse
HN_1 Wed Late Nurse
HN_1 Sat Late HeadNurse
HN_1 Sun Late HeadNurse
HN_2 Mon Late Nurse
HN_2 Tue Late Nurse
HN_2 Wed Late Nurse
HN_2 Thu Late HeadNurse
HN_3 Mon Early HeadNurse
HN_3 Tue Early Nurse
HN_3 Wed Day HeadNurse
HN_3 Thu Day Nurse
HN_3 Fri Day HeadNurse
HN_4 Tue Early HeadNurse
HN_4 Wed Early Nurse
HN_4 Thu Early HeadNurse
HN_4 Fri Day HeadNurse
HN_4 Sat Day HeadNurse
HN_5 Thu Night HeadNurse
HN_5 Fri Night Nurse
HN_5 Sat Night HeadNurse
HN_5 Sun Night HeadNurse
HN_6 Mon Day HeadNurse
HN_6 Tue Day HeadNurse
HN_6 Wed Late Nurse
HN_6 Thu Late Nurse
HN_6 Fri Late Nurse
HN_7 Thu Early Nurse
HN_7 Fri Early Nurse
HN_8 Mon Late HeadNurse
HN_8 Thu Night Nurse
HN_8 Fri Night Nurse
HN_9 Mon Night Nurse
HN_9 Tue Night Nurse
HN_9 Wed Night Nurse
HN_9 Sat Early HeadNurse
HN_9 Sun Early HeadNurse
HN_10 Thu Late Nurse
HN_10 Fri Late Nurse
HN_11 Sat Day Nurse
HN_11 Sun Day HeadNurse
HN_12 Mon Late Nurse
HN_12 Sat Night Nurse
HN_12 Sun Night HeadNurse
HN_13 Mon Day Nurse
HN_13 Tue Day Nurse
HN_13 Sat Early HeadNurse
HN_13 Sun Early Nurse
HN_14 Tue Night Nurse
HN_14 Wed Night HeadNurse
HN_14 Thu Night Nurse
HN_14 Fri Night Nurse
HN_15 Mon Late HeadNurse
HN_15 Tue Late Nurse
HN_15 Fri Early HeadNurse
HN_15 Sat Early Nurse
HN_15 Sun Late HeadNurse
NU_16 Mon Day Nurse
NU_16 Tue Day Caretaker
NU_16 Wed Early Caretaker
NU_16 Thu Early Nurse
NU_16 Fri Early Caretaker
NU_16 Sat Day Caretaker
NU_16 Sun Day Caretaker
NU_17 Mon Early Caretaker
NU_17 Tue Early Nurse
NU_17 Wed Day Nurse
NU_17 Thu Day Caretaker
NU_18 Wed Late Caretaker
NU_18 Thu Late Caretaker
NU_18 Fri Late Nurse
NU_19 Thu Day Caretaker
NU_19 Fri Day Caretaker
NU_20 Mon Day Nurse
NU_20 Thu Day Nurse
NU_20 Fri Day Nurse
NU_20 Sat Day Nurse
NU_20 Sun Night Caretaker
NU_21 Mon Early Nurse
NU_21 Tue Early Nurse
NU_21 Wed Early Nurse
NU_21 Sat Day Nurse
NU_21 Sun Day Nurse
NU_22 Fri Day Caretaker
NU_22 Sat Day Nurse
NU_22 Sun Day Nurse
NU_24 Wed Early Nurse
NU_24 Thu Early Caretaker
NU_25 Mon Early Caretaker
NU_25 Tue Day Nurse
NU_25 Wed Day Caretaker
NU_26 Mon Early Nurse
NU_26 Tue Early Caretaker
NU_26 Wed Day Nurse
NU_26 Thu Day Nurse
NU_27 Mon Early Caretaker
NU_27 Sat Late Nurse
NU_27 Sun Late Nurse
NU_28 Mon Night Caretaker
NU_28 Tue Night Nurse
NU_28 Wed Night Nurse
NU_29 Mon Early Nurse
NU_29 Tue Early Caretaker
NU_29 Sat Night Caretaker
NU_29 Sun Night Caretaker
NU_30 Mon Early Caretaker
NU_30 Tue Night Caretaker
NU_30 Wed Night Nurse
NU_30 Sat Night Caretaker
NU_30 Sun Night Nurse
NU_31 Mon Late Caretaker
NU_31 Tue Late Nurse
NU_31 Fri Day Nurse
NU_31 Sat Day Caretaker
NU_31 Sun Night Caretaker
NU_32 Tue Early Caretaker
NU_32 Wed Early Caretaker
NU_32 Thu Early Nurse
NU_32 Fri Early Caretaker
NU_33 Mon Night Nurse
NU_33 Sat Night Nurse
NU_33 Sun Night Nurse
CT_35 Mon Late Caretaker
CT_35 Tue Late Caretaker
CT_35 Wed Late Caretaker
CT_36 Tue Early Caretaker
CT_36 Wed Early Caretaker
CT_36 Thu Late Caretaker
CT_36 Fri Late Caretaker
CT_37 Mon Late Caretaker
