SOLUTION
2 n005w4

ASSIGNMENTS = 23
Patrick Mon Night HeadNurse
Patrick Tue Night HeadNurse
Patrick Wed Night Nurse
Patrick Thu Night Nurse
Patrick Sat Night HeadNurse
Patrick Sun Night HeadNurse
Andrea Tue Night Nurse
Andrea Sun Late Nurse
Stefaan Tue Late HeadNurse
Stefaan Wed Late HeadNurse
Sara Tue Late Nurse
Sara Wed Late Nurse
Sara Thu Late Nurse
Sara Fri Late Nurse
Sara Sat Night Nurse
Sara Sun Night Nurse
Nguyen Mon Early Nurse
Nguyen Tue Early Nurse
Nguyen Wed Early Nurse
Nguyen Thu Early Nurse
Nguyen Fri Early Nurse
Nguyen Sat Early Nurse
Nguyen Sun Early Nurse
