SOLUTION
5 n100w8

ASSIGNMENTS = 351
HN_0 Wed Night Nurse
HN_0 Thu Night HeadNurse
HN_0 Fri Night Nurse
HN_1 Wed Night HeadNurse
HN_1 Thu Night Nurse
HN_1 Fri Night HeadNurse
HN_1 Sun Early Nurse
HN_2 Tue Early Nurse
HN_2 Wed Early HeadNurse
HN_2 Thu Early HeadNurse
HN_2 Fri Early Nurse
HN_2 Sat Day HeadNurse
HN_2 Sun Day Nurse
HN_3 Tue Late Nurse
HN_3 Wed Late Nurse
HN_3 Fri Day HeadNurse
HN_3 Sat Day Nurse
HN_3 Sun Night HeadNurse
HN_4 Wed Day HeadNurse
HN_4 Thu Day HeadNurse
HN_4 Fri Early Nurse
HN_4 Sat Early HeadNurse
HN_4 Sun Day HeadNurse
HN_5 Mon Night HeadNurse
HN_6 Tue Late HeadNurse
HN_6 Wed Late HeadNurse
HN_6 Thu Late HeadNurse
HN_6 Fri Late Nurse
HN_7 Mon Early Nurse
HN_7 Tue Early HeadNurse
HN_7 Wed Early Nurse
HN_8 Tue Late Nurse
HN_8 Wed Late HeadNurse
HN_8 Thu Late Nurse
HN_8 Fri Late HeadNurse
HN_9 Mon Early HeadNurse
HN_9 Wed Early Nurse
HN_9 Thu Early Nurse
HN_9 Fri Early Nurse
HN_10 Mon Day Nurse
HN_10 Tue Day Nurse
HN_11 Mon Early Nurse
HN_11 Sat Late HeadNurse
HN_11 Sun Late HeadNurse
HN_12 Fri Day Nurse
HN_12 Sat Day HeadNurse
HN_12 Sun Late Nurse
HN_13 Mon Day HeadNurse
HN_13 Tue Day HeadNurse
HN_13 Sat Night HeadNurse
HN_13 Sun Night HeadNurse
HN_14 Mon Night Nurse
HN_14 Tue Night Nurse
HN_14 Wed Night HeadNurse
HN_14 Fri Day Nurse
HN_14 Sat Day Nurse
HN_14 Sun Night Nurse
HN_15 Tue Early HeadNurse
HN_15 Wed Day Nurse
HN_15 Thu Day HeadNurse
HN_15 Sat Early Nurse
HN_15 Sun Early HeadNurse
NU_16 Fri Late Nurse
NU_16 Sat Late Nurse
NU_16 Sun Late Caretaker
NU_17 Mon Day Caretaker
NU_17 Tue Day Caretaker
NU_17 Wed Early Nurse
NU_17 Thu Early Caretaker
NU_18 Mon Day Caretaker
NU_18 Tue Night Nurse
NU_18 Wed Night Nurse
NU_18 Thu Night Nurse
NU_18 Fri Night Nurse
NU_19 Mon Early Nurse
NU_19 Tue Early Caretaker
NU_20 Mon Night Nurse
NU_20 Wed Day Caretaker
NU_20 Thu Day Nurse
NU_20 Fri Day Caretaker
NU_21 Mon Early Caretaker
NU_21 Thu Early Caretaker
NU_21 Fri Early Nurse
NU_22 Mon Early Caretaker
NU_22 Tue Early Caretaker
NU_22 Sat Late Caretaker
NU_22 Sun Late Caretaker
NU_23 Mon Late Nurse
NU_23 Tue Late Caretaker
NU_23 Fri Night Caretaker
NU_23 Sat Night Nurse
NU_23 Sun Night Caretaker
NU_24 Thu Late Caretaker
NU_24 Fri Late Nurse
NU_25 Mon Early Caretaker
NU_25 Tue Early Caretaker
NU_25 Wed Day Caretaker
NU_25 Thu Day Caretaker
NU_25 Fri Day Caretaker
NU_25 Sat Late Nurse
NU_25 Sun Late Nurse
NU_26 Mon Day Nurse
NU_26 Tue Early Nurse
NU_26 Wed Early Nurse
NU_26 Thu Early Nurse
NU_27 Mon Late Caretaker
NU_28 Mon Early Caretaker
NU_28 Tue Early Caretaker
NU_28 Wed Late Nurse
NU_29 Tue Day Nurse
NU_29 Wed Day Caretaker
NU_29 Sat Night Caretaker
NU_29 Sun Night Caretaker
NU_30 Tue Late Nurse
NU_30 Wed Late Caretaker
NU_30 Thu Night Nurse
NU_30 Fri Night Caretaker
NU_31 Wed Early Caretaker
NU_31 Thu Early Caretaker
NU_31 Fri Early Nurse
NU_32 Tue Early Caretaker
NU_32 Wed Early Nurse
NU_32 Thu Early Nurse
NU_32 Fri Early Caretaker
NU_33 Mon Night Nurse
NU_33 Tue Night Caretaker
NU_33 Wed Night Caretaker
NU_34 Mon Late Nurse
NU_34 Tue Late Caretaker
NU_34 Wed Late Caretaker
NU_34 Thu Late Nurse
CT_35 Mon Day Caretaker
CT_35 Tue Day Caretaker
CT_35 Wed Day Caretaker
CT_35 Thu Late Caretaker
CT_35 Fri Late Caretaker
CT_36 Sat Early Caretaker
CT_36 Sun Early Caretaker
CT_37 Mon Night Caretaker
CT_37 Tue Night Caretaker
CT_37 Wed Night Caretaker
CT_37 Fri Late Caretaker
CT_37 Sat Late Caretaker
CT_37 Sun Night Caretaker
CT_38 Mon Early Caretaker
CT_38 Fri Day Caretaker
CT_38 Sat Day Caretaker
CT_38 Sun Early Caretaker
CT_39 Tue Early Caretaker
CT_39 Wed Early Caretaker
CT_39 Thu Early Caretaker
CT_39 Fri Early Caretaker
CT_40 Mon Early Caretaker
CT_40 Thu Early Caretaker
CT_40 Fri Early Caretaker
CT_40 Sat Night Caretaker
CT_40 Sun Night Caretaker
CT_41 Mon Night Caretaker
CT_41 Tue Night Caretaker
CT_42 Mon Day Caretaker
CT_42 Tue Day Caretaker
CT_42 Wed Early Caretaker
CT_42 Thu Early Caretaker
CT_42 Fri Early Caretaker
CT_43 Tue Day Caretaker
CT_43 Wed Day Caretaker
CT_43 Thu Day Caretaker
CT_43 Fri Day Caretaker
CT_44 Mon Late Caretaker
CT_44 Thu Early Caretaker
CT_44 Fri Early Caretaker
CT_45 Thu Early Caretaker
CT_45 Fri Early Caretaker
CT_46 Mon Late Caretaker
CT_46 Tue Night Caretaker
CT_46 Wed Night Caretaker
CT_46 Thu Night Caretaker
CT_46 Fri Night Caretaker
CT_47 Thu Late Caretaker
CT_47 Fri Late Caretaker
CT_47 Sat Late Caretaker
CT_47 Sun Night Caretaker
CT_48 Thu Early Caretaker
CT_48 Fri Early Caretaker
CT_48 Sat Day Caretaker
CT_48 Sun Day Caretaker
CT_50 Wed Early Caretaker
CT_50 Thu Early Caretaker
CT_50 Fri Day Caretaker
CT_51 Wed Night Caretaker
CT_51 Thu Night Caretaker
CT_51 Fri Night Caretaker
CT_51 Sat Night Caretaker
CT_51 Sun Night Caretaker
CT_52 Mon Late Caretaker
CT_52 Tue Late Caretaker
CT_52 Wed Late Caretaker
CT_52 Sat Early Caretaker
CT_52 Sun Early Caretaker
CT_53 Wed Day Caretaker
CT_53 Thu Day Caretaker
CT_54 Mon Early Caretaker
CT_54 Tue Early Caretaker
CT_54 Wed Early Caretaker
CT_55 Wed Day Caretaker
CT_55 Thu Day Caretaker
CT_56 Thu Late Caretaker
CT_56 Fri Late Caretaker
CT_57 Mon Late Caretaker
CT_57 Tue Late Caretaker
CT_57 Wed Late Caretaker
CT_57 Thu Late Caretaker
CT_58 Fri Night Caretaker
CT_58 Sat Night Caretaker
CT_58 Sun Night Caretaker
CT_60 Mon Day Caretaker
CT_60 Tue Day Caretaker
CT_60 Wed Day Caretaker
CT_60 Thu Day Caretaker
CT_60 Fri Day Caretaker
CT_61 Mon Night Caretaker
CT_61 Tue Night Caretaker
CT_61 Wed Night Caretaker
CT_61 Thu Night Caretaker
CT_62 Mon Early Caretaker
CT_62 Tue Early Caretaker
CT_62 Wed Late Caretaker
CT_62 Thu Late Caretaker
CT_62 Fri Late Caretaker
CT_63 Mon Night Caretaker
CT_64 Fri Day Caretaker
CT_64 Sat Day Caretaker
CT_64 Sun Late Caretaker
CT_65 Wed Late Caretaker
CT_65 Thu Late Caretaker
CT_65 Fri Late Caretaker
CT_66 Tue Night Caretaker
CT_66 Wed Night Caretaker
CT_66 Thu Night Caretaker
CT_66 Fri Night Caretaker
CT_67 Mon Day Caretaker
CT_67 Sat Day Caretaker
CT_67 Sun Day Caretaker
CT_68 Mon Day Caretaker
CT_68 Tue Day Caretaker
CT_68 Fri Early Caretaker
CT_68 Sat Early Caretaker
CT_68 Sun Late Caretaker
CT_69 Wed Night Caretaker
CT_69 Thu Night Caretaker
CT_69 Fri Night Caretaker
CT_69 Sat Night Caretaker
CT_69 Sun Night Caretaker
CT_70 Tue Late Caretaker
CT_70 Wed Late Caretaker
CT_70 Thu Late Caretaker
CT_71 Mon Day Caretaker
CT_71 Tue Day Caretaker
CT_71 Sat Night Caretaker
CT_71 Sun Night Caretaker
CT_72 Mon Night Caretaker
CT_72 Tue Night Caretaker
CT_72 Wed Night Caretaker
CT_72 Thu Night Caretaker
CT_73 Mon Late Caretaker
CT_73 Tue Late Caretaker
CT_73 Wed Late Caretaker
CT_74 Mon Early Caretaker
CT_74 Tue Late Caretaker
CT_74 Wed Late Caretaker
CT_74 Thu Late Caretaker
TR_75 Mon Late Trainee
TR_75 Tue Late Trainee
TR_76 Fri Late Trainee
TR_76 Sat Late Trainee
TR_76 Sun Late Trainee
TR_77 Mon Day Trainee
TR_77 Tue Late Trainee
TR_77 Wed Late Trainee
TR_78 Thu Early Trainee
TR_78 Fri Early Trainee
TR_79 Sat Day Trainee
TR_79 Sun Day Trainee
TR_80 Mon Late Trainee
TR_80 Tue Late Trainee
TR_80 Sat Late Trainee
TR_80 Sun Late Trainee
TR_81 Wed Early Trainee
TR_81 Thu Early Trainee
TR_81 Fri Early Trainee
TR_82 Tue Early Trainee
TR_82 Wed Early Trainee
TR_82 Thu Early Trainee
TR_82 Fri Early Trainee
TR_83 Wed Late Trainee
TR_83 Thu Late Trainee
TR_83 Fri Late Trainee
TR_84 Wed Night Trainee
TR_84 Thu Night Trainee
TR_84 Fri Night Trainee
TR_85 Wed Late Trainee
TR_85 Thu Late Trainee
TR_85 Fri Late Trainee
TR_86 Thu Night Trainee
TR_86 Fri Night Trainee
TR_87 Thu Late Trainee
TR_87 Fri Late Trainee
TR_88 Tue Late Trainee
TR_88 Wed Late Trainee
TR_88 Thu Late Trainee
TR_89 Mon Day Trainee
TR_89 Tue Day Trainee
TR_89 Wed Day Trainee
TR_90 Wed Day Trainee
TR_90 Thu Day Trainee
TR_90 Fri Night Trainee
TR_90 Sat Night Trainee
TR_90 Sun Night Trainee
TR_91 Tue Early Trainee
TR_91 Wed Early Trainee
TR_91 Thu Early Trainee
TR_91 Fri Early Trainee
TR_92 Mon Early Trainee
TR_92 Tue Early Trainee
TR_92 Wed Early Trainee
TR_92 Thu Early Trainee
TR_92 Fri Early Trainee
TR_92 Sat Day Trainee
TR_92 Sun Day Trainee
TR_93 Mon Early Trainee
TR_93 Fri Night Trainee
TR_93 Sat Night Trainee
TR_93 Sun Night Trainee
TR_94 Mon Night Trainee
TR_94 Thu Day Trainee
TR_94 Fri Day Trainee
TR_95 Mon Late Trainee
TR_95 Tue Late Trainee
TR_96 Wed Day Trainee
TR_96 Thu Day Trainee
TR_96 Fri Day Trainee
TR_97 Mon Day Trainee
TR_97 Tue Night Trainee
TR_97 Wed Night Trainee
TR_98 Mon Night Trainee
TR_98 Tue Night Trainee
TR_98 Sat Early Trainee
TR_98 Sun Early Trainee
TR_99 Mon Day Trainee
TR_99 Tue Day Trainee
TR_99 Wed Day Trainee
