SOLUTION
3 n120w8

ASSIGNMENTS = 497
HN_0 Mon Late Nurse
HN_0 Tue Late HeadNurse
HN_0 Wed Late HeadNurse
HN_0 Sat Night HeadNurse
HN_0 Sun Night HeadNurse
HN_2 Wed Late HeadNurse
HN_2 Thu Late HeadNurse
HN_2 Fri Late Nurse
HN_2 Sat Night HeadNurse
HN_2 Sun Night Nurse
HN_3 Mon Late Nurse
HN_3 Wed Early Nurse
HN_3 Thu Early Nurse
HN_3 Fri Late HeadNurse
HN_4 Mon Early Nurse
HN_4 Tue Night HeadNurse
HN_4 Wed Night HeadNurse
HN_4 Sat Late Nurse
HN_4 Sun Late HeadNurse
HN_5 Thu Early Nurse
HN_5 Fri Early Nurse
HN_6 Mon Early HeadNurse
HN_6 Tue Early HeadNurse
HN_6 Wed Early Nurse
HN_6 Thu Early Nurse
HN_7 Mon Night Nurse
HN_7 Tue Night Nurse
HN_7 Wed Night HeadNurse
HN_7 Sat Early Nurse
HN_7 Sun Early HeadNurse
HN_8 Mon Night Nurse
HN_8 Tue Night HeadNurse
HN_8 Wed Night Nurse
HN_8 Sat Night Nurse
HN_8 Sun Night HeadNurse
HN_9 Mon Day HeadNurse
HN_9 Tue Day Nurse
HN_9 Wed Late Nurse
HN_9 Thu Night HeadNurse
HN_9 Fri Night HeadNurse
HN_10 Mon Night HeadNurse
HN_10 Wed Day Nurse
HN_10 Thu Day Nurse
HN_10 Fri Day HeadNurse
HN_10 Sat Late Nurse
HN_10 Sun Late HeadNurse
HN_11 Mon Late HeadNurse
HN_11 Tue Late HeadNurse
HN_11 Thu Day HeadNurse
HN_11 Fri Day Nurse
HN_12 Thu Night Nurse
HN_12 Fri Night HeadNurse
HN_13 Mon Night HeadNurse
HN_13 Wed Day HeadNurse
HN_13 Thu Early HeadNurse
HN_13 Fri Early Nurse
HN_14 Tue Early HeadNurse
HN_14 Wed Late Nurse
HN_14 Fri Early HeadNurse
HN_15 Mon Early HeadNurse
HN_15 Thu Day Nurse
HN_15 Fri Day Nurse
HN_16 Mon Early Nurse
HN_16 Tue Early Nurse
HN_16 Wed Early HeadNurse
HN_16 Thu Early HeadNurse
HN_16 Fri Early Nurse
HN_17 Mon Night Nurse
HN_17 Tue Night HeadNurse
HN_17 Wed Night HeadNurse
HN_17 Thu Night HeadNurse
HN_18 Mon Day Nurse
HN_18 Tue Day HeadNurse
HN_18 Wed Day Nurse
HN_18 Sat Early HeadNurse
HN_18 Sun Day HeadNurse
HN_19 Mon Early Nurse
HN_19 Tue Early HeadNurse
