SOLUTION
1 n120w8

ASSIGNMENTS = 505
HN_0 Mon Early Nurse
HN_0 Thu Day Nurse
HN_0 Fri Day Nurse
HN_1 Tue Night HeadNurse
HN_1 Wed Night Nurse
HN_1 Thu Night HeadNurse
HN_1 Fri Night Nurse
HN_2 Mon Day HeadNurse
HN_2 Tue Day HeadNurse
HN_2 Wed Late HeadNurse
HN_2 Thu Late Nurse
HN_3 Fri Night HeadNurse
HN_3 Sat Night HeadNurse
HN_3 Sun Night Nurse
HN_4 Mon Night Nurse
HN_4 Wed Early HeadNurse
HN_4 Thu Early Nurse
HN_4 Fri Early Nurse
HN_5 Mon Late HeadNurse
HN_5 Tue Late Nurse
HN_6 Mon Night Nurse
HN_6 Tue Night Nurse
HN_7 Mon Day Nurse
HN_7 Tue Late HeadNurse
HN_7 Fri Early Nurse
HN_7 Sat Early HeadNurse
HN_7 Sun Day HeadNurse
HN_8 Mon Night Nurse
HN_8 Tue Night HeadNurse
HN_8 Wed Night HeadNurse
HN_8 Thu Night HeadNurse
HN_8 Fri Night HeadNurse
HN_9 Mon Late HeadNurse
HN_9 Fri Day Nurse
HN_9 Sat Day HeadNurse
HN_9 Sun Day Nurse
HN_10 Mon Day HeadNurse
HN_10 Tue Day Nurse
HN_10 Wed Day Nurse
HN_10 Thu Early Nurse
HN_10 Fri Early HeadNurse
HN_11 Mon Day HeadNurse
HN_11 Tue Day HeadNurse
HN_11 Wed Day HeadNurse
HN_11 Thu Day HeadNurse
HN_11 Fri Early HeadNurse
HN_12 Tue Late Nurse
HN_12 Wed Late Nurse
HN_12 Thu Late Nurse
HN_12 Fri Late HeadNurse
HN_13 Tue Night Nurse
HN_13 Wed Night Nurse
HN_13 Thu Night HeadNurse
HN_13 Fri Night Nurse
HN_14 Mon Early Nurse
HN_14 Tue Early HeadNurse
HN_14 Thu Day HeadNurse
HN_14 Fri Day HeadNurse
HN_14 Sat Day HeadNurse
HN_14 Sun Late HeadNurse
HN_15 Wed Late Nurse
HN_15 Thu Late HeadNurse
HN_15 Fri Late HeadNurse
HN_16 Mon Early HeadNurse
HN_16 Tue Day Nurse
HN_16 Wed Day HeadNurse
HN_17 Mon Late Nurse
HN_17 Tue Late HeadNurse
HN_17 Wed Late HeadNurse
HN_17 Thu Late HeadNurse
HN_18 Mon Night HeadNurse
HN_18 Tue Night Nurse
HN_18 Sat Late HeadNurse
HN_18 Sun Late Nurse
HN_19 Wed Early Nurse
HN_19 Thu Night Nurse
HN_19 Fri Night Nurse
HN_19 Sat Night Nurse
HN_19 Sun Night HeadNurse
NU_20 Wed Late Caretaker
NU_20 Thu Late Caretaker
NU_20 Fri Late Nurse
NU_21 Mon Night Nurse
NU_21 Tue Night Caretaker
NU_21 Fri Late Caretaker
NU_21 Sat Late Caretaker
NU_21 Sun Late Nurse
NU_22 Mon Late Caretaker
NU_22 Tue Late Nurse
NU_23 Sat Late Nurse
NU_23 Sun Late Caretaker
NU_24 Wed Early Nurse
NU_24 Thu Night Nurse
NU_24 Fri Night Nurse
NU_25 Mon Early Caretaker
NU_25 Thu Early Nurse
NU_25 Fri Early Caretaker
NU_25 Sat Early Nurse
NU_25 Sun Early Nurse
NU_26 Tue Night Nurse
NU_26 Wed Night Nurse
NU_26 Thu Night Caretaker
NU_26 Fri Night Caretaker
NU_27 Sat Day Nurse
NU_27 Sun Day Caretaker
NU_28 Mon Early Nurse
NU_28 Tue Early Nurse
NU_28 Wed Late Caretaker
NU_28 Thu Late Caretaker
NU_28 Fri Late Caretaker
NU_29 Mon Early Caretaker
NU_29 Tue Early Nurse
NU_29 Wed Early Caretaker
NU_29 Thu Early Caretaker
NU_29 Fri Early Nurse
NU_30 Mon Early Caretaker
NU_30 Tue Night Caretaker
NU_30 Wed Night Nurse
NU_30 Thu Night Nurse
NU_30 Sat Late Nurse
NU_30 Sun Late Nurse
NU_31 Mon Day Caretaker
NU_31 Tue Day Nurse
NU_31 Fri Night Nurse
NU_31 Sat Night Nurse
NU_31 Sun Night Nurse
NU_32 Mon Early Nurse
NU_32 Tue Early Nurse
NU_32 Wed Early Caretaker
NU_32 Thu Early Caretaker
NU_32 Fri Early Caretaker
NU_33 Mon Early Caretaker
NU_33 Tue Early Nurse
NU_33 Wed Day Caretaker
NU_33 Thu Day Caretaker
NU_33 Fri Day Nurse
NU_34 Mon Late Nurse
NU_34 Tue Late Caretaker
NU_34 Wed Late Nurse
NU_35 Wed Day Nurse
NU_35 Thu Day Nurse
NU_35 Fri Day Caretaker
NU_36 Mon Night Caretaker
NU_36 Tue Night Nurse
NU_36 Wed Night Caretaker
NU_36 Thu Night Caretaker
NU_36 Fri Night Caretaker
NU_37 Tue Day Nurse
NU_37 Wed Day Nurse
NU_37 Thu Day Caretaker
NU_37 Fri Early Nurse
NU_38 Wed Night Nurse
NU_38 Thu Night Nurse
NU_38 Fri Night Nurse
NU_39 Mon Day Caretaker
NU_39 Tue Day Nurse
NU_39 Wed Day Caretaker
NU_39 Thu Day Nurse
NU_40 Tue Day Nurse
NU_40 Wed Day Nurse
NU_40 Thu Early Nurse
NU_40 Fri Early Caretaker
NU_41 Mon Late Nurse
NU_41 Tue Late Nurse
NU_41 Wed Late Nurse
NU_41 Thu Late Caretaker
NU_42 Mon Late Nurse
